timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/17 12:42:54.402, 38.29 W, 80, 40 %, 1680 MHz
2026/06/17 12:42:55.414, 40.26 W, 80, 38 %, 1687 MHz
2026/06/17 12:42:56.423, 39.16 W, 81, 39 %, 1687 MHz
2026/06/17 12:42:57.433, 36.33 W, 80, 38 %, 1567 MHz
2026/06/17 12:42:58.449, 35.71 W, 80, 38 %, 1545 MHz
2026/06/17 12:42:59.462, 37.76 W, 80, 33 %, 1620 MHz
2026/06/17 12:43:00.475, 36.72 W, 80, 35 %, 1620 MHz
2026/06/17 12:43:01.483, 32.94 W, 80, 24 %, 1500 MHz
2026/06/17 12:43:02.493, 30.99 W, 80, 33 %, 1500 MHz
2026/06/17 12:43:03.508, 31.32 W, 80, 33 %, 1500 MHz
2026/06/17 12:43:04.520, 32.93 W, 79, 35 %, 1500 MHz
2026/06/17 12:43:05.530, 31.81 W, 80, 34 %, 1500 MHz
2026/06/17 12:43:06.539, 31.55 W, 80, 34 %, 1500 MHz
2026/06/17 12:43:07.553, 31.37 W, 79, 33 %, 1500 MHz
2026/06/17 12:43:08.569, 31.00 W, 80, 33 %, 1500 MHz
2026/06/17 12:43:09.574, 30.62 W, 80, 26 %, 1500 MHz
2026/06/17 12:43:10.588, 31.64 W, 79, 35 %, 1500 MHz
2026/06/17 12:43:11.604, 32.04 W, 79, 35 %, 1500 MHz
2026/06/17 12:43:12.619, 32.42 W, 79, 36 %, 1500 MHz
2026/06/17 12:43:13.635, 32.30 W, 80, 36 %, 1500 MHz
2026/06/17 12:43:14.639, 31.89 W, 79, 35 %, 1500 MHz
2026/06/17 12:43:15.656, 31.64 W, 79, 35 %, 1500 MHz
2026/06/17 12:43:16.669, 31.66 W, 79, 34 %, 1500 MHz
2026/06/17 12:43:17.682, 30.84 W, 79, 28 %, 1500 MHz
2026/06/17 12:43:18.691, 30.95 W, 79, 34 %, 1500 MHz
2026/06/17 12:43:19.701, 31.08 W, 80, 31 %, 1500 MHz
2026/06/17 12:43:20.715, 30.85 W, 79, 32 %, 1500 MHz
2026/06/17 12:43:21.734, 33.71 W, 80, 36 %, 1500 MHz
2026/06/17 12:43:22.750, 36.50 W, 80, 40 %, 1567 MHz
2026/06/17 12:43:23.755, 36.63 W, 80, 37 %, 1567 MHz
2026/06/17 12:43:24.761, 33.89 W, 80, 35 %, 1590 MHz
2026/06/17 12:43:25.779, 52.16 W, 80, 33 %, 1590 MHz
2026/06/17 12:43:26.794, 31.64 W, 80, 35 %, 1500 MHz
2026/06/17 12:43:27.807, 30.97 W, 80, 31 %, 1500 MHz
2026/06/17 12:43:28.819, 31.35 W, 79, 33 %, 1500 MHz
2026/06/17 12:43:29.832, 32.76 W, 80, 38 %, 1500 MHz
2026/06/17 12:43:30.842, 31.56 W, 79, 36 %, 1500 MHz
2026/06/17 12:43:31.853, 31.80 W, 79, 33 %, 1500 MHz
